mode,cycle,kind,handler_to_editor_ready_ms,first_key_delivery_ms,launches
baseline,0,initial,70.573,5.822,1
prepared,0,initial,16.550,0.607,1
prepared,1,reopen,6.354,0.771,2
baseline,1,reopen,12.172,2.663,2
baseline,2,reopen,15.609,0.790,3
prepared,2,reopen,9.399,0.637,3
prepared,3,reopen,12.770,0.970,4
baseline,3,reopen,24.902,0.951,4
baseline,4,reopen,16.031,0.555,5
prepared,4,reopen,9.676,0.542,5
prepared,5,reopen,7.214,3.536,6
baseline,5,reopen,23.672,0.705,6
baseline,6,reopen,18.431,0.633,7
prepared,6,reopen,12.476,3.590,7
prepared,7,reopen,15.189,0.835,8
baseline,7,reopen,21.701,1.632,8
baseline,8,reopen,20.489,0.693,9
prepared,8,reopen,13.093,0.696,9
prepared,9,reopen,7.320,0.723,10
baseline,9,reopen,23.507,0.781,10
baseline,10,reopen,24.917,0.660,11
prepared,10,reopen,22.024,0.812,11
prepared,11,reopen,7.311,0.689,12
baseline,11,reopen,18.216,0.898,12
baseline,12,reopen,23.297,0.811,13
prepared,12,reopen,19.842,0.799,13
prepared,13,reopen,9.757,0.723,14
baseline,13,reopen,17.097,0.752,14
baseline,14,reopen,27.634,1.017,15
prepared,14,reopen,16.398,0.777,15
prepared,15,reopen,10.723,0.706,16
baseline,15,reopen,18.518,0.759,16
baseline,16,reopen,18.160,0.814,17
prepared,16,reopen,8.700,0.624,17
prepared,17,reopen,12.459,0.703,18
baseline,17,reopen,22.344,1.036,18
baseline,18,reopen,15.621,0.623,19
prepared,18,reopen,15.424,0.520,19
prepared,19,reopen,14.842,0.718,20
baseline,19,reopen,19.824,0.650,20
baseline,20,reopen,20.155,0.805,21
prepared,20,reopen,11.817,0.812,21
prepared,21,reopen,10.193,3.583,22
baseline,21,reopen,17.493,0.683,22
baseline,22,reopen,22.513,0.794,23
prepared,22,reopen,17.850,0.866,23
prepared,23,reopen,10.660,0.730,24
baseline,23,reopen,21.203,0.767,24
baseline,24,reopen,15.761,0.632,25
prepared,24,reopen,9.349,0.722,25
prepared,25,reopen,8.631,4.157,26
baseline,25,reopen,26.976,0.833,26
baseline,26,reopen,22.963,7.573,27
prepared,26,reopen,21.713,0.686,27
prepared,27,reopen,9.453,0.732,28
baseline,27,reopen,30.582,0.805,28
baseline,28,reopen,21.881,0.673,29
prepared,28,reopen,18.166,0.687,29
prepared,29,reopen,9.834,4.183,30
baseline,29,reopen,22.004,1.194,30
baseline,30,reopen,21.493,0.812,31
prepared,30,reopen,15.154,0.815,31
