mode,cycle,kind,handler_to_editor_ready_ms,first_key_delivery_ms,launches
baseline,0,initial,58.133,5.299,1
prepared,0,initial,18.625,7.193,1
prepared,1,reopen,8.110,1.812,2
baseline,1,reopen,26.721,1.031,2
baseline,2,reopen,28.906,0.857,3
prepared,2,reopen,13.301,0.629,3
prepared,3,reopen,9.645,0.912,4
baseline,3,reopen,26.076,0.806,4
baseline,4,reopen,25.000,0.847,5
prepared,4,reopen,26.104,0.542,5
prepared,5,reopen,13.741,1.026,6
baseline,5,reopen,24.121,3.406,6
baseline,6,reopen,25.207,2.109,7
prepared,6,reopen,25.807,1.036,7
prepared,7,reopen,9.916,6.800,8
baseline,7,reopen,24.379,0.803,8
baseline,8,reopen,25.550,2.278,9
prepared,8,reopen,17.155,4.949,9
prepared,9,reopen,16.696,0.890,10
baseline,9,reopen,29.642,0.985,10
baseline,10,reopen,25.782,5.647,11
prepared,10,reopen,13.434,0.975,11
prepared,11,reopen,10.637,7.266,12
baseline,11,reopen,29.196,0.927,12
baseline,12,reopen,27.838,1.057,13
prepared,12,reopen,22.625,1.140,13
prepared,13,reopen,15.956,0.999,14
baseline,13,reopen,23.892,0.949,14
baseline,14,reopen,24.617,0.888,15
prepared,14,reopen,15.923,0.973,15
prepared,15,reopen,11.792,0.798,16
baseline,15,reopen,25.736,2.974,16
baseline,16,reopen,28.839,0.892,17
prepared,16,reopen,22.129,0.920,17
prepared,17,reopen,17.533,1.304,18
baseline,17,reopen,18.855,0.600,18
baseline,18,reopen,26.917,1.097,19
prepared,18,reopen,14.878,0.686,19
prepared,19,reopen,12.374,0.789,20
baseline,19,reopen,27.260,0.853,20
baseline,20,reopen,27.531,0.902,21
prepared,20,reopen,20.871,4.625,21
