mode,sample,request_to_window_server_visible_ms,request_unix_seconds,pid
reopen,1,65.309,1789527527.963730,13407
reopen,2,81.179,1789527528.720120,13407
reopen,3,79.943,1789527529.554012,13407
reopen,4,50.202,1789527530.337504,13407
reopen,5,53.014,1789527531.055500,13407
reopen,6,76.867,1789527531.770825,13407
reopen,7,47.792,1789527532.536919,13407
reopen,8,67.617,1789527533.278850,13407
reopen,9,83.944,1789527534.037074,13407
reopen,10,67.906,1789527534.898347,13407
reopen,11,61.612,1789527535.657839,13407
reopen,12,72.451,1789527536.412231,13407
reopen,13,76.506,1789527537.154659,13407
reopen,14,67.906,1789527537.903975,13407
reopen,15,175.522,1789527538.669002,13407
reopen,16,46.459,1789527539.529321,13407
reopen,17,46.740,1789527540.254053,13407
reopen,18,51.566,1789527540.983013,13407
reopen,19,55.313,1789527541.704148,13407
reopen,20,41.473,1789527542.420853,13407
