mode,sample,request_to_window_server_visible_ms,request_unix_seconds,pid
reopen,1,54.004,1789526756.869582,10239
reopen,2,80.030,1789526757.609510,10239
reopen,3,64.179,1789526758.457397,10239
reopen,4,47.133,1789526759.219601,10239
reopen,5,76.492,1789526759.969753,10239
reopen,6,62.693,1789526760.724206,10239
reopen,7,69.804,1789526761.477033,10239
reopen,8,166.194,1789526762.240610,10239
reopen,9,75.656,1789526763.098926,10239
reopen,10,55.962,1789526763.865583,10239
reopen,11,61.413,1789526764.620388,10239
reopen,12,81.910,1789526765.373626,10239
reopen,13,80.970,1789526766.149022,10239
reopen,14,57.154,1789526766.974138,10239
reopen,15,57.901,1789526767.740772,10239
reopen,16,69.795,1789526768.502979,10239
reopen,17,47.344,1789526769.249162,10239
reopen,18,55.939,1789526769.958050,10239
reopen,19,46.335,1789526770.686257,10239
reopen,20,44.580,1789526771.402945,10239
