scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
acp,baseline,2736680,12107776,2736680,218688,0.101,0
acp,transcript_loaded,4211240,13631488,4211240,1619248,8.388,1800
acp,snapshots_100,12272192,21807104,12272192,3148432,538.870,100
acp,snapshots_200,12272192,21807104,12272192,3148368,535.211,100
acp,snapshots_300,12304960,21839872,12304960,3148432,539.032,100
acp,snapshots_400,13894208,23429120,13894208,3148496,526.555,100
acp,released,13894208,23429120,13894208,327120,305.254,0
acp,pool_drained,13894208,23429120,13894208,327184,300.378,0
acp,allocator_relief,13910592,23445504,13910592,327328,0.109,0
acp,after_relief,13910592,23445504,13910592,327056,304.771,0
