scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
clipboard,baseline,2736680,12107776,2736680,218688,0.171,0
clipboard,seed_images,95109864,116424704,125289192,684304,6195.760,12
clipboard,seed_settled,95109864,116424704,95109864,684192,301.383,0
clipboard,rows_loaded,108970728,130285568,108970728,89962768,52.469,12
clipboard,rows_released,108970728,130285568,108970728,684320,305.218,0
clipboard,text_queries_10,108987112,130351104,109380328,685232,376.133,10
clipboard,text_queries_20,108987112,130351104,109380328,684960,358.149,10
clipboard,text_queries_30,108987112,130351104,109380328,685024,356.367,10
clipboard,released,108987112,121569280,108987112,365664,305.320,0
clipboard,pool_drained,108987112,121569280,108987112,365152,303.408,0
clipboard,allocator_relief,108987112,121569280,108987112,365680,0.197,0
clipboard,after_relief,108987112,121569280,108987112,365280,302.350,0
