scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
emoji,baseline,2736680,12075008,2736680,218688,0.197,0
emoji,model_loaded,5227072,20938752,5227072,792528,25.307,0
emoji,cycles_25,8880752,28327936,8880752,1865888,110.910,25
emoji,cycles_50,9339504,29229056,9339504,2106144,107.575,25
emoji,cycles_75,9699952,29999104,9699952,2349344,108.965,25
emoji,cycles_100,10044016,31031296,10044016,2285584,107.328,25
emoji,released,10044016,30982144,10044016,1957312,305.037,0
emoji,pool_drained,10044016,30982144,10044016,1807360,304.920,0
emoji,allocator_relief,10044016,30982144,10044016,1807888,0.138,0
emoji,after_relief,10044016,30982144,10044016,1807488,302.024,0
