scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
image-decode,baseline,2736680,12107776,2736680,218608,0.176,0
image-decode,seed_images,9732768,23330816,143999696,531664,9799.521,3
image-decode,seed_settled,9732768,23330816,9732768,531424,300.799,0
image-decode,rows_loaded,10355360,23953408,10355360,1466400,1.472,3
image-decode,decoded_full_size,15025088,238321664,145277744,204471712,147.196,3
image-decode,decoded_retained,15025088,238321664,15025088,204472112,301.865,0
image-decode,rows_released,14844744,238223360,14844744,203534528,302.435,0
image-decode,text_queries_10,16106312,239534080,16335688,203535104,13.953,10
image-decode,text_queries_20,16106312,239534080,16335688,203535632,7.131,10
image-decode,text_queries_30,16106312,239534080,16335688,203535568,6.317,10
image-decode,released,16106312,238518272,16106312,203362128,301.381,0
image-decode,pool_drained,16106312,238518272,16106312,203361616,301.489,0
image-decode,allocator_relief,16106312,238518272,16106312,203362144,0.342,0
image-decode,after_relief,16106312,238518272,16106312,203361744,301.402,0
