scenario,phase,footprint_bytes,rss_bytes,sampled_peak_bytes,heap_in_use_bytes,elapsed_ms,units
notes,baseline,2736680,12075008,2736680,218688,0.137,0
notes,seed_notebook,4964928,14401536,4964928,226976,110.988,1000
notes,notebook_loaded,88146568,97959936,88146568,82813104,28.888,1000
notes,reload_1,171475664,182534144,171475664,82865120,32.359,1000
notes,reload_2,184976080,196034560,184976080,82865120,26.026,1000
notes,reload_3,185025232,196083712,185025232,82881504,24.746,1000
notes,released,185025232,196083712,185025232,303776,305.012,0
notes,pool_drained,185025232,196083712,185025232,303840,304.817,0
notes,allocator_relief,185041616,196100096,185041616,303904,0.152,0
notes,after_relief,185041616,196100096,185041616,303632,303.639,0
